,CODST,CMR,JU,CODGE,NUME,Autonoma,Lat,Lon,Z,X,Y,Rugozitate,cr
24,15095,Banat-Crisana,BH,659236,Borod,0,46.9936,22.5902,333,316906.9799,613235.3999,0.05,1
124,15373,Muntenia,AG,452452,Pitesti,0,44.8489,24.866,316,489553.6679,372107.2363,0.5,1
136,15412,Oltenia,MH,428307,Bacles,1,44.4762,23.1131,313,350024.789,332439.529,0.05,1
42,15145,TransilvaniaS,MS,632432,Tg. Mures,0,46.5333,24.5338,310,464390.1982,559373.6095,0.5,1
110,15338,Banat-Crisana,CS,502141,Oravita,0,45.0387,21.7105,309,241025.0458,398513.002,0.5,1
15,15063,TransilvaniaN,SJ,711305,Zalau,0,47.1949,23.0467,295,352171.3305,634635.6549,0.5,1
125,15375,Muntenia,DB,456526,Targoviste,0,44.9295,25.4257,293.49,533748.0866,381144.9378,0.05,1
14,15056,Moldova,IS,722657,Cotnari,0,47.3583,26.9256,289,645584.5746,652747.4004,0.6,1
104,15328,Muntenia,BZ,519622,Patarlagele,0,45.3246,26.3695,289,607494.3704,425880.1617,0.1,1
129,15395,Oltenia,VL,444417,Dragasani,0,44.6654,24.2372,280,439655.4069,351996.1255,0.1,1
95,15314,Banat-Crisana,CS,518155,Resita,0,45.3144,21.887,279,256118.1043,428574.821,0.5,1
46,15160,Banat-Crisana,BH,632229,Stei,0,46.528,22.4665,278,305838.0556,561794.5913,0.05,1
2,15004,TransilvaniaN,MM,758355,Sighetul Marmatiei,0,47.9393,23.9043,275,418295.3145,716124.0511,0.05,1
61,15206,Banat-Crisana,HD,610244,Tebea,1,46.1695,22.7262,273,324607.732,521354.8436,0.05,1
68,15231,TransilvaniaS,AB,557334,Sebes,0,45.9641,23.5415,271,387124.4858,497057.2658,0.05,1
123,15369,Oltenia,GJ,453344,Tg. Logresti,0,44.8781,23.7087,262,398128.353,376161.2845,0.75,1
1,15000,Moldova,BT,812637,Darabani,0,48.1949,26.5735,259,617118.7505,745149.3108,0.05,1
121,15364,Banat-Crisana,CS,455200,Bozovici,0,44.9183,22.0062,256,263811.8299,384224.0148,0.05,1
